Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
"Kulas, Cummings and Bechtelar",Netherlands,52.370216,4.895168,Transportation & Logistics,Micro (1-10),Michael Brown,03/06/24,Services,Opportunity,5,Proposal sent,4,398,10,05/19/24,
Hessel-McClure,Germany,52.520008,13.404954,Professional Services  & Consulting,Micro (1-10),Jessica Martinez,01/15/24,Services,Opportunity,5,Proposal sent,4,779,40,03/11/24,
Pagac and Sons,Netherlands,52.370216,4.895168,Government Administration Healthcare,Micro (1-10),Jessica Martinez,03/13/24,Services,Opportunity,5,Proposal sent,4,742,60,07/13/24,
"White, Murazik and Larkin",Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),Laura Thompson,04/03/24,SAAS,Opportunity,5,Proposal sent,4,396,60,11/25/24,
Pfeffer-Prohaska,Italy,41.902782,12.496366,Telecommunications,Micro (1-10),Kevin Anderson,04/06/24,SAAS,Opportunity,5,Proposal sent,4,1128,60,03/17/25,
"Hyatt, Hudson and Predovic",Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Kevin Anderson,01/25/24,Services,Opportunity,5,Proposal sent,4,525,20,05/13/24,
"Maggio, Bartoletti and Hoppe",France,48.864716,2.349014,Professional Services  & Consulting,Micro (1-10),Laura Thompson,02/18/24,SAAS,Opportunity,5,Proposal sent,4,1157,100,09/05/24,
"Schimmel, Denesik and Schmeler",Germany,52.520008,13.404954,Agriculture & Mining,Micro (1-10),Michael Brown,05/06/24,Services,Opportunity,5,Proposal sent,4,1102,50,07/05/24,
Schmitt-Bradtke,Portugal,38.736946,-9.142685,Transportation & Logistics,Micro (1-10),Emily Johnson,05/05/24,SAAS,Opportunity,5,Proposal sent,4,1057,20,08/08/24,
"Wilkinson, Balistreri and Beier",Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Sarah Davis,04/23/24,SAAS,Opportunity,5,Proposal sent,4,595,60,03/17/25,
Leannon-Romaguera,Portugal,38.736946,-9.142685,Education & Science,Micro (1-10),Michael Brown,04/24/24,SAAS,Opportunity,5,Proposal sent,4,690,10,09/14/24,
"Jakubowski, Effertz and Lemke",Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),John Smith,05/05/24,SAAS,Opportunity,5,Proposal sent,4,1133,20,01/24/25,
"Hirthe, Fisher and Dooley",Germany,52.520008,13.404954,Education & Science,Micro (1-10),Laura Thompson,01/30/24,Custom solution,Opportunity,5,Proposal sent,4,507,40,12/20/24,
Tremblay Inc,Italy,41.902782,12.496366,Energy & Utilities,Micro (1-10),Laura Thompson,05/14/24,SAAS,Opportunity,5,Proposal sent,4,1059,100,03/31/25,
"Mertz, Adams and Bradtke",Belgium,51.260197,4.402771,IT & IT Services,Micro (1-10),Michael Brown,02/19/24,Services,Opportunity,5,Proposal sent,4,288,30,12/12/24,
Hermiston LLC,Netherlands,52.370216,4.895168,Government Administration Healthcare,Micro (1-10),Laura Thompson,05/12/24,Services,Opportunity,5,Proposal sent,4,595,60,09/08/24,
Mayer Group,Netherlands,52.370216,4.895168,Government Administration Healthcare,Micro (1-10),Sarah Davis,05/31/24,Custom solution,Opportunity,5,Proposal sent,4,335,40,02/08/25,
Wolf-Deckow,Italy,41.902782,12.496366,Telecommunications,Micro (1-10),Sarah Davis,05/02/24,Services,Opportunity,5,Proposal sent,4,314,80,08/19/24,
"Franecki, Grant and Prosacco",France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Laura Thompson,01/22/24,SAAS,Opportunity,5,Proposal sent,4,1031,30,03/27/24,
Batz-Russel,Netherlands,52.370216,4.895168,IT & IT Services,Micro (1-10),Laura Thompson,03/12/24,Services,Opportunity,5,Proposal sent,4,219,40,08/05/24,
Russel-Stiedemann,Austria,48.210033,16.363449,Transportation & Logistics,Micro (1-10),Kevin Anderson,02/24/24,Services,Opportunity,5,Proposal sent,4,878,40,02/15/25,
"Zemlak, O'Reilly and Schowalter",Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),Laura Thompson,04/10/24,SAAS,Opportunity,5,Proposal sent,4,646,40,10/01/24,
Douglas-Wiza,France,48.864716,2.349014,Retail & Distribution,Micro (1-10),Michael Brown,04/05/24,SAAS,Opportunity,5,Proposal sent,4,1132,50,12/10/24,
"Heidenreich, Murazik and Walsh",Netherlands,52.370216,4.895168,Transportation & Logistics,Micro (1-10),Sarah Davis,02/22/24,Services,Opportunity,5,Proposal sent,4,970,20,08/22/24,
"Konopelski, McDermott and Wunsch",Portugal,38.736946,-9.142685,Transportation & Logistics,Micro (1-10),Michael Brown,05/25/24,Services,Opportunity,5,Proposal sent,4,721,90,08/16/24,
"Greenholt, Kirlin and Torphy",Portugal,38.736946,-9.142685,IT & IT Services,Micro (1-10),Laura Thompson,02/22/24,SAAS,Opportunity,5,Proposal sent,4,788,100,06/13/24,
Skipfire,Spain,40.416775,-3.70379,Transportation & Logistics,Medium (201-500),Kevin Anderson,05/30/24,Services,Opportunity,5,Proposal sent,4,7039,50,07/07/24,
Buzzshare,Germany,52.520008,13.404954,Telecommunications,Medium (201-500),Laura Thompson,05/08/24,Services,Opportunity,5,Proposal sent,4,771,30,02/03/25,
Photobean,Germany,52.520008,13.404954,Agriculture & Mining,Medium (201-500),Sarah Davis,04/04/24,Services,Opportunity,5,Proposal sent,4,5565,30,10/12/24,
Agimba,Austria,48.210033,16.363449,Manufacturing & Production,Medium (201-500),Kevin Anderson,01/09/24,Custom solution,Opportunity,5,Proposal sent,4,5451,90,04/27/24,
Twitterbridge,France,48.864716,2.349014,Energy & Utilities,Medium (201-500),Emily Johnson,02/03/24,Custom solution,Opportunity,5,Proposal sent,4,1667,30,04/19/24,
Quamba,Spain,40.416775,-3.70379,Government Administration Healthcare,Medium (201-500),David Wilson,03/23/24,Custom solution,Opportunity,5,Proposal sent,4,2685,60,08/07/24,
Topiclounge,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Michael Brown,02/08/24,Services,Opportunity,5,Proposal sent,4,6080,100,05/10/24,
Meezzy,Spain,40.416775,-3.70379,Manufacturing & Production,Medium (201-500),Laura Thompson,04/12/24,SAAS,Opportunity,5,Proposal sent,4,1099,60,11/28/24,
"Nicolas, Champlin and Dietrich",Switzerland,46.204391,6.143158,Education & Science,Medium (201-500),Jessica Martinez,01/27/24,SAAS,Opportunity,5,Proposal sent,4,7919,30,04/14/24,
"Shanahan, Gislason and Vandervort",Italy,41.902782,12.496366,Professional Services  & Consulting,Medium (201-500),Laura Thompson,05/26/24,Services,Opportunity,5,Proposal sent,4,5268,90,05/10/25,
"Bogan, Weimann and Rath",Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Laura Thompson,02/17/24,Custom solution,Opportunity,5,Proposal sent,4,5597,50,05/05/24,
"Kemmer, O'Hara and DuBuque",Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Medium (201-500),David Wilson,03/15/24,SAAS,Opportunity,5,Proposal sent,4,6927,20,11/28/24,
Kerluke-McKenzie,Austria,48.210033,16.363449,Transportation & Logistics,Medium (201-500),Laura Thompson,05/26/24,Services,Opportunity,5,Proposal sent,4,7711,20,10/03/24,
"Green, Kuhn and O'Connell",Belgium,51.260197,4.402771,Banking and Finance,Medium (201-500),Jessica Martinez,05/13/24,SAAS,Opportunity,5,Proposal sent,4,5878,30,03/01/25,
Conroy-Bartoletti,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Kevin Anderson,05/24/24,Services,Opportunity,5,Proposal sent,4,7387,60,05/22/25,
Schamberger LLC,Germany,52.520008,13.404954,Entertainment & Media & Hospitality,Medium (201-500),David Wilson,05/26/24,SAAS,Opportunity,5,Proposal sent,4,3342,40,06/27/24,
Renner Inc,Portugal,38.736946,-9.142685,Manufacturing & Production,Medium (201-500),Sarah Davis,02/13/24,SAAS,Opportunity,5,Proposal sent,4,771,20,10/11/24,
"McKenzie, Reynolds and Hane",Spain,40.416775,-3.70379,IT & IT Services,Medium (201-500),Sarah Davis,04/03/24,Services,Opportunity,5,Proposal sent,4,6323,40,06/11/24,
"Schmidt, Hahn and Frami",France,48.864716,2.349014,Manufacturing & Production,Medium (201-500),John Smith,02/19/24,SAAS,Opportunity,5,Proposal sent,4,2662,40,10/06/24,
Adams Group,France,48.864716,2.349014,Retail & Distribution,Medium (201-500),Laura Thompson,04/12/24,Services,Opportunity,5,Proposal sent,4,2879,30,04/02/25,
"Beier, Wolf and Schuster",Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Jessica Martinez,03/31/24,SAAS,Opportunity,5,Proposal sent,4,1235,100,03/04/25,
Flatley Group,France,48.864716,2.349014,Entertainment & Media & Hospitality,Medium (201-500),John Smith,04/10/24,Services,Opportunity,5,Proposal sent,4,7496,30,01/29/25,
Barton Inc,France,48.864716,2.349014,Banking and Finance,Medium (201-500),Michael Brown,01/09/24,Services,Opportunity,5,Proposal sent,4,7008,30,08/13/24,
"Skiles, Deckow and Hintz",Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),John Smith,02/27/24,Services,Opportunity,5,Proposal sent,4,613,30,07/31/24,
Upton-Parisian,Italy,41.902782,12.496366,Retail & Distribution,Medium (201-500),Emily Johnson,05/31/24,SAAS,Opportunity,5,Proposal sent,4,5859,30,12/16/24,
Quigley-Kling,France,48.864716,2.349014,Retail & Distribution,Medium (201-500),Jessica Martinez,03/22/24,Services,Opportunity,5,Proposal sent,4,5386,40,01/09/25,
Reilly and Sons,Austria,48.210033,16.363449,Education & Science,Medium (201-500),Laura Thompson,04/06/24,Services,Opportunity,5,Proposal sent,4,5955,20,05/11/24,
Kassulke-Keebler,Spain,40.416775,-3.70379,Entertainment & Media & Hospitality,Medium (201-500),Jessica Martinez,04/07/24,Services,Opportunity,5,Proposal sent,4,4031,20,01/17/25,
Morar-Berge,Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Jessica Martinez,02/28/24,SAAS,Opportunity,5,Proposal sent,4,7020,40,05/11/24,
Emard Group,Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Jessica Martinez,02/29/24,SAAS,Opportunity,5,Proposal sent,4,5759,40,02/08/25,
Nolan Group,Portugal,38.736946,-9.142685,Manufacturing & Production,Medium (201-500),Michael Brown,02/15/24,SAAS,Opportunity,5,Proposal sent,4,5029,40,08/09/24,
"Stroman, Wehner and Stamm",Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Laura Thompson,05/11/24,Custom solution,Opportunity,5,Proposal sent,4,1737,80,06/22/24,
"Doyle, Osinski and Gleichner",France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),David Wilson,05/29/24,Services,Opportunity,5,Proposal sent,4,5878,100,05/04/25,
"Nader, Steuber and Kulas",Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Sarah Davis,03/12/24,SAAS,Opportunity,5,Proposal sent,4,467,40,08/27/24,
Schmidt-Kunze,Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),John Smith,04/25/24,Custom solution,Opportunity,5,Proposal sent,4,1148,60,02/24/25,
"MacGyver, Moore and Smith",Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Jessica Martinez,02/29/24,SAAS,Opportunity,5,Proposal sent,4,6322,50,08/10/24,
Quigley Group,Germany,52.520008,13.404954,Government Administration Healthcare,Medium (201-500),Jessica Martinez,04/08/24,SAAS,Opportunity,5,Proposal sent,4,7667,80,06/01/24,
Lockman Inc,Switzerland,46.204391,6.143158,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,04/05/24,SAAS,Opportunity,5,Proposal sent,4,4290,30,07/06/24,
"Schmidt, Skiles and Dare",France,48.864716,2.349014,Banking and Finance,Medium (201-500),Laura Thompson,04/04/24,Services,Opportunity,5,Proposal sent,4,4707,70,12/02/24,
Von LLC,Austria,48.210033,16.363449,Banking and Finance,Medium (201-500),David Wilson,03/10/24,SAAS,Opportunity,5,Proposal sent,4,459,60,07/29/24,
Ruecker Inc,Germany,52.520008,13.404954,Construction & Engineering,Medium (201-500),Jessica Martinez,02/21/24,SAAS,Opportunity,5,Proposal sent,4,220,40,08/15/24,
"Heaney, Fadel and Wiegand",Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Jessica Martinez,03/23/24,SAAS,Opportunity,5,Proposal sent,4,4663,20,07/30/24,
"Kohler, Dietrich and Bosco",Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Michael Brown,05/22/24,Custom solution,Opportunity,5,Proposal sent,4,7228,50,06/23/24,
Stoltenberg-Fahey,Italy,41.902782,12.496366,Retail & Distribution,Medium (201-500),David Wilson,04/26/24,SAAS,Opportunity,5,Proposal sent,4,1156,20,07/05/24,
Ledner-Lindgren,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Sarah Davis,03/21/24,Services,Opportunity,5,Proposal sent,4,4305,90,08/31/24,
Olson LLC,Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Medium (201-500),Sarah Davis,03/06/24,SAAS,Opportunity,5,Proposal sent,4,3479,10,02/02/25,
"Wunsch, Hegmann and Bradtke",Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Emily Johnson,03/05/24,Services,Opportunity,5,Proposal sent,4,3733,40,07/27/24,
"Bernier, Stamm and Lemke",Belgium,51.260197,4.402771,Transportation & Logistics,Medium (201-500),Laura Thompson,02/18/24,Custom solution,Opportunity,5,Proposal sent,4,2926,20,01/23/25,
Mitchell-Veum,Germany,52.520008,13.404954,Energy & Utilities,Medium (201-500),Emily Johnson,04/10/24,Services,Opportunity,5,Proposal sent,4,6552,40,08/06/24,
"Hayes, Christiansen and Bahringer",France,48.864716,2.349014,Education & Science,Medium (201-500),Laura Thompson,02/15/24,SAAS,Opportunity,5,Proposal sent,4,2036,80,10/06/24,
Lang and Sons,Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Jessica Martinez,03/30/24,Services,Opportunity,5,Proposal sent,4,4525,30,06/20/24,
Mills-Ziemann,Austria,48.210033,16.363449,Construction & Engineering,Medium (201-500),Michael Brown,04/27/24,Services,Opportunity,5,Proposal sent,4,3490,40,11/24/24,
"Hoppe, Becker and Jacobs",Italy,41.902782,12.496366,Education & Science,Medium (201-500),Kevin Anderson,03/06/24,Custom solution,Opportunity,5,Proposal sent,4,2425,70,08/01/24,
Christiansen-Bechtelar,Germany,52.520008,13.404954,Education & Science,Medium (201-500),Laura Thompson,05/27/24,SAAS,Opportunity,5,Proposal sent,4,4625,40,07/27/24,
Bartoletti Group,Belgium,51.260197,4.402771,Education & Science,Medium (201-500),Michael Brown,02/20/24,Services,Opportunity,5,Proposal sent,4,1138,20,10/25/24,
Rippin and Sons,Belgium,51.260197,4.402771,Construction & Engineering,Medium (201-500),David Wilson,04/02/24,Custom solution,Opportunity,5,Proposal sent,4,3276,100,08/08/24,
Sauer-Huels,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Jessica Martinez,03/25/24,SAAS,Opportunity,5,Proposal sent,4,7195,100,06/09/24,
Kerluke-Schuster,Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),Laura Thompson,05/25/24,Services,Opportunity,5,Proposal sent,4,4718,50,02/25/25,
King-McKenzie,Italy,41.902782,12.496366,Agriculture & Mining,Medium (201-500),Laura Thompson,01/25/24,Services,Opportunity,5,Proposal sent,4,729,20,09/29/24,
Langosh-Stark,Germany,52.520008,13.404954,IT & IT Services,Medium (201-500),Laura Thompson,01/31/24,Services,Opportunity,5,Proposal sent,4,7735,80,03/16/24,
Kreiger Group,Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Jessica Martinez,01/13/24,Custom solution,Opportunity,5,Proposal sent,4,3872,30,10/03/24,
Livetube,Italy,41.902782,12.496366,IT & IT Services,Large (501-1000),John Smith,04/13/24,Custom solution,Opportunity,5,Proposal sent,4,9742,40,10/25/24,
Rowe-Jacobs,Portugal,38.736946,-9.142685,Government Administration Healthcare,Large (501-1000),Laura Thompson,04/08/24,Custom solution,Opportunity,5,Proposal sent,4,3294,50,11/30/24,
Donnelly-Kunze,Spain,40.416775,-3.70379,Professional Services  & Consulting,Large (501-1000),Laura Thompson,03/25/24,SAAS,Opportunity,5,Proposal sent,4,5135,40,12/26/24,
Batz-Gleichner,Switzerland,46.204391,6.143158,Agriculture & Mining,Large (501-1000),Kevin Anderson,03/31/24,Services,Opportunity,5,Proposal sent,4,5645,20,06/24/24,
Borer-Aufderhar,Switzerland,46.204391,6.143158,Energy & Utilities,Enterprise (1001+),Michael Brown,03/30/24,SAAS,Opportunity,5,Proposal sent,4,4228,60,07/24/24,
"Hirthe, Parisian and Pouros",Belgium,51.260197,4.402771,Transportation & Logistics,Enterprise (1001+),Emily Johnson,02/21/24,Custom solution,Opportunity,5,Proposal sent,4,2633,40,12/02/24,
Murphy Inc,Spain,40.416775,-3.70379,Government Administration Healthcare,Enterprise (1001+),Kevin Anderson,04/02/24,Services,Opportunity,5,Proposal sent,4,19246,40,10/12/24,
Jabberstorm,France,48.864716,2.349014,IT & IT Services,Small (11-200),Laura Thompson,01/05/24,Services,Opportunity,5,Won,5,1226,20,02/25/24,
Thoughtsphere,Spain,40.416775,-3.70379,Construction & Engineering,Small (11-200),Kevin Anderson,03/18/24,SAAS,Opportunity,5,Won,5,1744,20,08/21/24,
Fivebridge,Spain,40.416775,-3.70379,IT & IT Services,Small (11-200),John Smith,01/08/24,Services,Opportunity,5,Won,5,287,20,02/12/24,
Dabtype,Portugal,38.736946,-9.142685,Transportation & Logistics,Small (11-200),Laura Thompson,05/14/24,Custom solution,Opportunity,5,Won,5,1501,40,12/10/24,
Corkery LLC,France,48.864716,2.349014,Agriculture & Mining,Small (11-200),Michael Brown,02/19/24,SAAS,Opportunity,5,Won,5,1440,10,12/17/24,
"Ledner, Koelpin and Rath",Switzerland,46.204391,6.143158,IT & IT Services,Small (11-200),Laura Thompson,04/25/24,Services,Opportunity,5,Won,5,1915,20,07/23/24,
Walter LLC,Germany,52.520008,13.404954,Entertainment & Media & Hospitality,Small (11-200),Jessica Martinez,04/15/24,Custom solution,Opportunity,5,Won,5,1029,20,02/05/25,
Runolfsdottir-Kulas,Italy,41.902782,12.496366,Banking and Finance,Small (11-200),John Smith,05/23/24,Custom solution,Opportunity,5,Won,5,641,60,03/11/25,
Senger LLC,Netherlands,52.370216,4.895168,Transportation & Logistics,Small (11-200),Michael Brown,05/27/24,Custom solution,Opportunity,5,Won,5,1776,60,11/05/24,
Legros-DuBuque,France,48.864716,2.349014,IT & IT Services,Small (11-200),Emily Johnson,03/20/24,SAAS,Opportunity,5,Won,5,1464,60,09/09/24,
Mertz Group,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Michael Brown,05/22/24,SAAS,Opportunity,5,Won,5,1236,90,07/30/24,
Harber Inc,Germany,52.520008,13.404954,Professional Services  & Consulting,Small (11-200),Sarah Davis,03/20/24,SAAS,Opportunity,5,Won,5,200,30,02/14/25,
"Borer, Durgan and Weber",France,48.864716,2.349014,Entertainment & Media & Hospitality,Small (11-200),Sarah Davis,04/11/24,Services,Opportunity,5,Won,5,698,40,03/20/25,
Davis-Waelchi,Italy,41.902782,12.496366,Energy & Utilities,Small (11-200),Michael Brown,01/21/24,SAAS,Opportunity,5,Won,5,1712,60,02/28/24,
"Hessel, Zboncak and Rath",Netherlands,52.370216,4.895168,Entertainment & Media & Hospitality,Small (11-200),John Smith,04/29/24,SAAS,Opportunity,5,Won,5,726,60,03/29/25,
Harvey Group,Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),Jessica Martinez,05/07/24,Custom solution,Opportunity,5,Won,5,292,10,06/07/24,
"Stoltenberg, Gulgowski and Murazik",Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Laura Thompson,05/05/24,SAAS,Opportunity,5,Won,5,265,20,02/27/25,
Hickle LLC,Portugal,38.736946,-9.142685,Recreation & Sports,Small (11-200),Michael Brown,05/22/24,SAAS,Opportunity,5,Won,5,424,20,11/21/24,
Miller-Goyette,Netherlands,52.370216,4.895168,Entertainment & Media & Hospitality,Small (11-200),Jessica Martinez,05/26/24,SAAS,Opportunity,5,Won,5,865,20,07/21/24,
"Ankunding, Mayer and Sanford",Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),John Smith,02/02/24,SAAS,Opportunity,5,Won,5,1284,30,01/07/25,
Anderson Inc,Belgium,51.260197,4.402771,IT & IT Services,Small (11-200),Jessica Martinez,03/08/24,SAAS,Opportunity,5,Won,5,1573,50,09/27/24,
"Sanford, Koch and Kulas",Netherlands,52.370216,4.895168,Government Administration Healthcare,Small (11-200),John Smith,01/12/24,SAAS,Opportunity,5,Won,5,799,10,07/24/24,
Champlin LLC,Belgium,51.260197,4.402771,IT & IT Services,Small (11-200),Michael Brown,02/03/24,SAAS,Opportunity,5,Won,5,1108,60,06/27/24,
"Beer, Toy and Reichert",Austria,48.210033,16.363449,Transportation & Logistics,Small (11-200),Kevin Anderson,05/18/24,SAAS,Opportunity,5,Won,5,1859,40,02/12/25,
Langworth-Conn,Portugal,38.736946,-9.142685,Transportation & Logistics,Small (11-200),David Wilson,05/09/24,SAAS,Opportunity,5,Won,5,1979,100,12/22/24,
"Ankunding, Kozey and Hauck",Austria,48.210033,16.363449,Banking and Finance,Small (11-200),Michael Brown,01/16/24,Custom solution,Opportunity,5,Won,5,272,20,03/20/24,
"Kuhic, Abernathy and Ward",Spain,40.416775,-3.70379,Government Administration Healthcare,Small (11-200),David Wilson,03/21/24,SAAS,Opportunity,5,Won,5,320,40,12/26/24,
Monahan-Reinger,France,48.864716,2.349014,IT & IT Services,Small (11-200),Jessica Martinez,03/02/24,SAAS,Opportunity,5,Won,5,1097,80,09/15/24,
"Kilback, Klein and Lemke",Switzerland,46.204391,6.143158,Retail & Distribution,Small (11-200),Laura Thompson,05/05/24,Services,Opportunity,5,Won,5,1443,40,10/31/24,
Huel Inc,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),John Smith,04/22/24,SAAS,Opportunity,5,Won,5,254,50,03/28/25,
"Reinger, Price and Zemlak",Belgium,51.260197,4.402771,Professional Services  & Consulting,Small (11-200),Michael Brown,04/01/24,Custom solution,Opportunity,5,Won,5,424,40,01/16/25,
Rogahn Group,Italy,41.902782,12.496366,Telecommunications,Small (11-200),Emily Johnson,04/06/24,Custom solution,Opportunity,5,Won,5,847,60,05/22/24,
Jacobson-Bogan,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),David Wilson,05/27/24,Custom solution,Opportunity,5,Won,5,1431,30,01/25/25,
Kreiger-Stroman,Belgium,51.260197,4.402771,Banking and Finance,Small (11-200),Sarah Davis,01/02/24,Services,Opportunity,5,Won,5,719,40,02/14/24,
"Wilderman, Kulas and Emard",Germany,52.520008,13.404954,IT & IT Services,Micro (1-10),Michael Brown,04/20/24,SAAS,Opportunity,5,Won,5,938,80,03/20/25,
"Mohr, Feil and Fisher",Switzerland,46.204391,6.143158,Retail & Distribution,Micro (1-10),Sarah Davis,02/21/24,SAAS,Opportunity,5,Won,5,1159,30,08/11/24,
"Hagenes, Schuppe and Homenick",Spain,40.416775,-3.70379,Transportation & Logistics,Micro (1-10),John Smith,05/03/24,Services,Opportunity,5,Won,5,643,40,11/19/24,
Senger Inc,Portugal,38.736946,-9.142685,IT & IT Services,Micro (1-10),John Smith,03/09/24,Services,Opportunity,5,Won,5,540,60,07/30/24,
Bernier-Denesik,France,48.864716,2.349014,Professional Services  & Consulting,Micro (1-10),Laura Thompson,01/31/24,Custom solution,Opportunity,5,Won,5,523,10,08/27/24,
Bergnaum Group,Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Laura Thompson,05/28/24,Services,Opportunity,5,Won,5,391,90,02/04/25,
Johnson-Zieme,Spain,40.416775,-3.70379,Banking and Finance,Micro (1-10),Emily Johnson,05/05/24,SAAS,Opportunity,5,Won,5,448,30,07/10/24,
Lesch-Ryan,France,48.864716,2.349014,Professional Services  & Consulting,Micro (1-10),Jessica Martinez,02/02/24,SAAS,Opportunity,5,Won,5,1143,40,10/12/24,
Rutherford-Doyle,Belgium,51.260197,4.402771,Telecommunications,Micro (1-10),Laura Thompson,01/05/24,SAAS,Opportunity,5,Won,5,235,60,11/30/24,
Swaniawski and Sons,France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Laura Thompson,04/04/24,Services,Opportunity,5,Won,5,626,20,05/06/24,
Auer-Donnelly,Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Laura Thompson,04/17/24,SAAS,Opportunity,5,Won,5,1171,50,10/12/24,
"Lockman, Kris and Hansen",Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Laura Thompson,03/24/24,Services,Opportunity,5,Won,5,354,50,08/07/24,
Cronin-Dare,Switzerland,46.204391,6.143158,Entertainment & Media & Hospitality,Micro (1-10),Jessica Martinez,01/31/24,SAAS,Opportunity,5,Won,5,373,20,11/30/24,
"Effertz, Kuhlman and Koch",Belgium,51.260197,4.402771,Professional Services  & Consulting,Micro (1-10),Emily Johnson,03/04/24,SAAS,Opportunity,5,Won,5,396,70,10/11/24,
Simonis-Beahan,Italy,41.902782,12.496366,Manufacturing & Production,Micro (1-10),Laura Thompson,04/06/24,SAAS,Opportunity,5,Won,5,723,40,11/01/24,
Crona-Smitham,Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),Kevin Anderson,01/08/24,Services,Opportunity,5,Won,5,707,90,06/06/24,
Eimbee,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Kevin Anderson,01/14/24,SAAS,Opportunity,5,Won,5,1607,70,01/10/25,
Jaloo,Portugal,38.736946,-9.142685,Banking and Finance,Medium (201-500),Emily Johnson,03/26/24,Services,Opportunity,5,Won,5,2560,20,10/09/24,
Fivespan,Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),David Wilson,02/27/24,Services,Opportunity,5,Won,5,2942,40,01/15/25,
Digitube,France,48.864716,2.349014,Recreation & Sports,Medium (201-500),Jessica Martinez,03/19/24,Services,Opportunity,5,Won,5,7428,30,11/24/24,
"Wisozk, Hickle and Olson",Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Medium (201-500),Jessica Martinez,01/02/24,SAAS,Opportunity,5,Won,5,3161,50,10/20/24,
Donnelly-Bergnaum,Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),Laura Thompson,02/27/24,Services,Opportunity,5,Won,5,4558,40,06/25/24,
Jacobs-Cruickshank,Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),Kevin Anderson,03/02/24,Services,Opportunity,5,Won,5,5279,30,08/13/24,
Walter-Altenwerth,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),John Smith,03/24/24,Services,Opportunity,5,Won,5,6644,50,01/27/25,
Schinner-Leannon,Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),John Smith,03/01/24,SAAS,Opportunity,5,Won,5,1953,70,11/21/24,
Torp-Goldner,Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Emily Johnson,01/21/24,SAAS,Opportunity,5,Won,5,7787,60,05/16/24,
Dooley-Feest,Germany,52.520008,13.404954,Agriculture & Mining,Medium (201-500),Laura Thompson,01/31/24,SAAS,Opportunity,5,Won,5,4665,40,07/05/24,
Ondricka-Beer,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Michael Brown,05/27/24,SAAS,Opportunity,5,Won,5,2470,20,10/15/24,
Hansen Group,Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Sarah Davis,04/26/24,Services,Opportunity,5,Won,5,5258,60,08/16/24,
